Marker_ID,Size_Combination,Marker_Length_m,Efficiency_pct,ratio,no_of_pieces
MK-101,M+M+L+L,2.71,89,1:1:1:1,4
MK-102,L+XL+XL,3.39,84,1:2:1,4
MK-103,XL+XL+XL,2.45,83,1:1:1,3
MK-104,XL+XL+XL,2.93,84,1:1:1,3
MK-105,L+XL+XL,2.63,87,1:2:1,4
MK-106,L+L+XL+2XL,2.42,86,2:1:1,4
MK-107,S+M+L,2.93,83,1:1:1,3
MK-108,M+M+L+L,3.12,81,1:1:1:1,4
MK-109,L+L+XL+2XL,3.34,90,2:1:1,4
MK-110,S+M+L,2.65,85,1:1:1,3
MK-111,S+M+M+L,3.07,80,1:2:1,4
MK-112,L+XL+XL,3.31,82,1:2:1,4
MK-113,XL+XL+XL,3.3,89,1:1:1,3
MK-114,S+S+M+M,3.48,89,1:1:1:1,4
MK-115,S+M+M+L,2.72,83,1:2:1,4
